dataset,backbone,variant,split,selected_depth,val_metric,test_metric,metric_name,source
roman-empire,SAGE,GNNM,0,5,0.9013239145278931,0.899929404258728,acc,results2/roman_empire/tabm.csv
roman-empire,SAGE,GNNM,1,5,0.8993821740150452,0.9094598889350891,acc,results2/roman_empire/tabm.csv
roman-empire,SAGE,GNNM,2,5,0.89496910572052,0.897987961769104,acc,results2/roman_empire/tabm.csv
roman-empire,SAGE,GNNM,3,5,0.9016769528388977,0.897987961769104,acc,results2/roman_empire/tabm.csv
roman-empire,SAGE,GNNM,4,5,0.9029126167297363,0.9011648297309875,acc,results2/roman_empire/tabm.csv
roman-empire,SAGE,GNNM,5,5,0.8960282206535339,0.9085774421691895,acc,results2/roman_empire/tabm.csv
roman-empire,SAGE,GNNM,6,5,0.8928508162498474,0.8958700895309448,acc,results2/roman_empire/tabm.csv
roman-empire,SAGE,GNNM,7,5,0.8953221440315247,0.8971055150032043,acc,results2/roman_empire/tabm.csv
roman-empire,SAGE,GNNM,8,5,0.9025595784187317,0.9002823829650879,acc,results2/roman_empire/tabm.csv
roman-empire,SAGE,GNNM,9,4,0.8979699611663818,0.8956936001777649,acc,results2/roman_empire/tabm.csv
roman-empire,GAT,GNNM,0,5,0.8298322558403015,0.8266854882240295,acc,results2/roman_empire/tabm.csv
roman-empire,GAT,GNNM,1,5,0.8358340263366699,0.8254500031471252,acc,results2/roman_empire/tabm.csv
roman-empire,GAT,GNNM,2,4,0.8227713704109192,0.8261560201644897,acc,results2/roman_empire/tabm.csv
roman-empire,GAT,GNNM,3,4,0.8337157964706421,0.8261560201644897,acc,results2/roman_empire/tabm.csv
roman-empire,GAT,GNNM,4,4,0.83565753698349,0.8319802284240723,acc,results2/roman_empire/tabm.csv
roman-empire,GAT,GNNM,5,5,0.8294792175292969,0.8303917646408081,acc,results2/roman_empire/tabm.csv
roman-empire,GAT,GNNM,6,4,0.8199470043182373,0.8187433481216431,acc,results2/roman_empire/tabm.csv
roman-empire,GAT,GNNM,7,5,0.8300088047981262,0.837274968624115,acc,results2/roman_empire/tabm.csv
roman-empire,GAT,GNNM,8,5,0.8305383920669556,0.8238615989685059,acc,results2/roman_empire/tabm.csv
roman-empire,GAT,GNNM,9,4,0.8305383920669556,0.8243910670280457,acc,results2/roman_empire/tabm.csv
roman-empire,GAT-sep,GNNM,0,4,0.9124448299407959,0.9085774421691895,acc,results2/roman_empire/tabm.csv
roman-empire,GAT-sep,GNNM,1,5,0.9140335321426392,0.9131662249565125,acc,results2/roman_empire/tabm.csv
roman-empire,GAT-sep,GNNM,2,5,0.9083847999572754,0.9105188846588135,acc,results2/roman_empire/tabm.csv
roman-empire,GAT-sep,GNNM,3,4,0.9156222343444824,0.9105188846588135,acc,results2/roman_empire/tabm.csv
roman-empire,GAT-sep,GNNM,4,5,0.9159752726554871,0.914401650428772,acc,results2/roman_empire/tabm.csv
roman-empire,GAT-sep,GNNM,5,5,0.9143865704536438,0.9182844758033752,acc,results2/roman_empire/tabm.csv
roman-empire,GAT-sep,GNNM,6,5,0.9089143872261047,0.9122837781906128,acc,results2/roman_empire/tabm.csv
roman-empire,GAT-sep,GNNM,7,4,0.9071491360664368,0.9068125486373901,acc,results2/roman_empire/tabm.csv
roman-empire,GAT-sep,GNNM,8,5,0.9145630598068237,0.9092833995819092,acc,results2/roman_empire/tabm.csv
roman-empire,GAT-sep,GNNM,9,5,0.9184466004371643,0.9151076078414917,acc,results2/roman_empire/tabm.csv
